Gene,SHAP_Importance
ARPP19,0.0014913032885169742
GPNMB,0.0014909901999635622
CD68,0.001490065609107205
COPA,0.0014877375841930184
PLEC,0.0014871769038654746
KRT81,0.0014866198813251684
EIF4G2,0.001485919378192193
XRCC6,0.0014854785454758712
SYNGR2,0.0014847073177406856
EIF3K,0.001482576512498781
YWHAQ,0.0014787064288657348
PEBP1,0.001478470071128868
ARPC3,0.0014775183921119607
CD47,0.0014758607175963333
ADAM12,0.001475066799466731
NR4A1,0.0014733583719134912
TLN1,0.0014721885699430005
UBB,0.001468456622778831
QDPR,0.0014639904735304298
SQLE,0.0014548789575201226
MORF4L2,0.0014545893971808254
JAK1,0.0014525862689515633
RCAN1,0.001449982297817769
CDH3,0.0014494664322410244
PPIA,0.0014463028524369292
NEBL,0.0014442496049014153
H2AFZ,0.001444241334684193
ARF3,0.0014363519542348513
BAT2L2,0.0014356498090455716
ATP5G2,0.0014332218545678188
AHNAK2,0.001431446812912327
FCGRT,0.0014306518400189817
SPINT1,0.0014246658672573175
SEPW1,0.0014245250945532461
S100A2,0.0014195506141004444
CDC42,0.0014125674200477078
RERG,0.0014076854336417454
MLF2,0.0014075560978380963
NPC2,0.0014068566041896702
CACNG4,0.0014054964715512596
PFKP,0.001405031209887966
NCOA4,0.0014042094459000508
RALGAPB,0.0014013179173616662
CLEC3A,0.001397469179437394
DNAJC12,0.0013939339562239184
MCM3,0.001390283845757949
YWHAG,0.0013899628157923872
PDXDC1,0.001389428661650527
GATA3,0.0013893827142965165
NAT1,0.0013893642905350135
STAU1,0.0013880628542574413
HYOU1,0.001386938318137254
RAD23B,0.0013868439882116946
RPLP2,0.0013867043120535528
SMARCD2,0.0013833199274813524
CGN,0.0013830729350229375
PRNP,0.0013812814451557643
CHPT1,0.0013795642567492905
CRIP1,0.001375532303271143
SLC7A8,0.0013754046941039633
LAMB3,0.0013752750811227088
HK2,0.0013744391142790845
PTPRF,0.0013741166092586354
PFN2,0.0013731129378447805
ACLY,0.001372730052607949
FLOT1,0.0013715747280912184
LAP3,0.0013695530736174532
MSMB,0.0013687295849376824
GM2A,0.0013646955309513941
ADAR,0.0013638225962631623
CEACAM5,0.0013637428291985998
SLITRK6,0.001357452191145967
CFD,0.0013564313083770684
MTSS1,0.0013534409542626236
NUCB2,0.0013526810513576494
PLOD1,0.0013525381908493727
CYCS,0.0013500019778211936
PI3,0.0013468296262351487
CHMP4B,0.0013438119905549684
ARHGAP29,0.0013417209624913085
KRT15,0.0013402133799445437
STAT3,0.001339538383629133
ALB,0.0013368708125199192
